Original File Name,Converted File Name,Status,HEIC Size (KB),JPG Size (KB),Dimensions,Timestamp
chef-with-trumpet.heic,chef-with-trumpet.jpg,Failed,1580.12,,,2025-06-06 10:43:50
childrens-show-theater.heic,childrens-show-theater.jpg,Failed,1300.95,,,2025-06-06 10:43:51
classic-car.heic,classic-car.jpg,Failed,1914.81,,,2025-06-06 10:43:51
greyhounds-looking-for-a-table.heic,greyhounds-looking-for-a-table.jpg,Failed,1681.09,,,2025-06-06 10:43:51
sewing-threads.heic,sewing-threads.jpg,Failed,1557.86,,,2025-06-06 10:43:51
shelf-christmas-decoration.heic,shelf-christmas-decoration.jpg,Failed,1408.47,,,2025-06-06 10:43:51
soundboard.heic,soundboard.jpg,Failed,1191.62,,,2025-06-06 10:43:52
chef-with-trumpet.heic,chef-with-trumpet.jpg,Failed,1580.12,,,2025-06-06 10:49:33
childrens-show-theater.heic,childrens-show-theater.jpg,Failed,1300.95,,,2025-06-06 10:49:33
classic-car.heic,classic-car.jpg,Failed,1914.81,,,2025-06-06 10:49:33
greyhounds-looking-for-a-table.heic,greyhounds-looking-for-a-table.jpg,Failed,1681.09,,,2025-06-06 10:49:33
sewing-threads.heic,sewing-threads.jpg,Failed,1557.86,,,2025-06-06 10:49:34
shelf-christmas-decoration.heic,shelf-christmas-decoration.jpg,Failed,1408.47,,,2025-06-06 10:49:34
soundboard.heic,soundboard.jpg,Failed,1191.62,,,2025-06-06 10:49:34
